project,issue,category,linter,detected
Internal 1, 1, 1,staticcheck,FALSE
Internal 1, 1, 1,govet,FALSE
Internal 1, 1, 1,revive,TRUE
Internal 1, 1, 1,gosec,TRUE
Internal 1, 1, 1,errcheck,FALSE
Internal 1, 2, 1, staticcheck,FALSE
Internal 1, 2, 1, govet,FALSE
Internal 1, 2, 1, revive,TRUE
Internal 1, 2, 1, gosec,TRUE
Internal 1, 2, 1, errcheck,FALSE
Internal 1, 3, 1, staticcheck,FALSE
Internal 1, 3, 1, govet,FALSE
Internal 1, 3, 1, revive,TRUE
Internal 1, 3, 1, gosec,FALSE
Internal 1, 3, 1, errcheck,FALSE
Internal 1, 4, 1,staticcheck,FALSE
Internal 1, 4, 1,govet,FALSE
Internal 1, 4, 1,revive,FALSE
Internal 1, 4, 1,gosec,TRUE
Internal 1, 4, 1,errcheck,FALSE
Internal 2, 1, 1,staticcheck,FALSE
Internal 2, 1, 1,govet,FALSE
Internal 2, 1, 1,revive,TRUE
Internal 2, 1, 1,gosec,TRUE
Internal 2, 1, 1,errcheck,FALSE
Internal 2, 2, 1,staticcheck,FALSE
Internal 2, 2, 1,govet,FALSE
Internal 2, 2, 1,revive,FALSE
Internal 2, 2, 1,gosec,TRUE
Internal 2, 2, 1,errcheck,FALSE
Internal 3,1,2,staticcheck,TRUE
Internal 3,1,2,govet,FALSE
Internal 3,1,2,revive,TRUE
Internal 3,1,2,gosec,TRUE
Internal 3,1,2,errcheck,TRUE
Internal 3,2,2,staticcheck,TRUE
Internal 3,2,2,govet,FALSE
Internal 3,2,2,revive,FALSE
Internal 3,2,2,gosec,FALSE
Internal 3,2,2,errcheck,FALSE
Internal 3,3,2,staticcheck,TRUE
Internal 3,3,2,govet,FALSE
Internal 3,3,2,revive,TRUE
Internal 3,3,2,gosec,FALSE
Internal 3,3,2,errcheck,FALSE
Internal 3,4,3,staticcheck,FALSE
Internal 3,4,3,govet,FALSE
Internal 3,4,3,revive,TRUE
Internal 3,4,3,gosec,FALSE
